,001_08,002_08,003_08,004_08,005_08,006_08,007_08,019_14,020_14,021_14,022_14,023_14,024_14,025_14,026_14,027_14,028_14,076_13,077_13,078_13,079_13,080_13,081_13,082_13,083_13,084_13,085_13,086_13,087_13,089_13,090_13,091_13,092_13,093_13,094_13,095_13,096_13,097_13,098_13,099_13,100_13,102_13,103_13,104_13,105_13,106_13,236_14,237_14,238_14,239_14,240_14,241_14,242_14,243_14,244_14,245_14,246_14,247_14,248_14,249_14,250_14,251_14,252_14,253_14,254_14,255_14,256_14,257_14,258_14,259_14,260_14,261_14,262_14,263_14,264_14,265_14,266_14,267_14,268_14
087_13,-0.368154734,-0.483948022,-0.647609711,-0.51145947,-0.33762762,-0.592549324,-0.368413031,-0.496788919,0.524981439,0.090181649,-0.04907262,-0.203914598,-0.248839408,0.480266452,-0.57964009,-0.49208501,-0.657334328,-0.221114308,-0.254780531,-0.916867197,-0.366367459,-0.555452168,-0.465563565,-0.77615577,-0.398633152,-0.469374627,0.257653415,-0.524154782,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089_13,-0.125143796,-0.027543651,0.051412746,-0.049578812,0.136326909,-0.040043395,-0.302836567,-0.672742903,0.09003336,-0.010128221,-0.148311645,0.526649237,-0.117897399,-0.134104848,0.033579975,0.752672374,0.201920867,0.28730303,0.296612442,0.043228626,0.570317149,-0.170838699,-0.057346523,0.398707479,-0.51652199,0.517670214,-0.752572179,0.142857924,-0.284360737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090_13,-0.077104583,0.097595803,0.270604134,-0.037755925,-0.060453422,-0.122114725,-0.211196348,-0.538613617,0.003527124,-0.205879301,0.228619456,0.385666162,0.18725732,-0.120003171,0.319474965,1,0.539464414,0.458260477,0.506675601,0.411648691,0.729647577,0.020366754,0.055746105,0.461744666,-0.247322842,0.58888346,-0.617571652,0.07972613,-0.242664844,0.722498238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091_13,0.083823793,-0.296046883,0.164658889,0.188405439,0.097699761,-0.259334147,0.509579659,0.389038205,0.262515306,-0.07649193,0.274547487,0.336045295,0.362260699,0.225828305,0.504410565,-0.120398082,0.330039442,0.171994194,0.281356305,0.158111602,-0.070158578,0.339571565,0.502040982,-0.203803346,0.070622258,0.120915815,0.169954896,0.118099064,-0.249622539,-0.186799988,-0.162502438,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092_13,-0.179853797,-0.084352136,-0.007494234,0.066676281,0.315267295,0.179167137,0.833252311,0.471419752,-0.072308235,0.040429868,0.222334102,0.267865121,0.068719961,0.095507182,0.620158017,-0.003336654,0.384901643,0.017461045,-0.024983084,0.534494996,-0.006558536,0.287358195,0.229899853,0.123243168,-0.036954992,0.06870243,0.438899755,0.270394117,-0.328578234,-0.091057353,-0.076413408,0.738061965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093_13,0.279935688,0.194414973,0.028881416,-0.184547558,0.113795578,-0.175012141,0.165129676,-0.083351672,-0.40866369,-0.472267538,-0.118624248,-0.132845804,-0.073885269,-0.325292289,0.732258499,0.450606287,0.473186523,0.272790879,0.20446232,0.216557845,0.230331406,-0.119263522,0.441227108,-0.272408366,0.086718075,0.374397159,-0.340181142,0.176545307,-0.700423002,-0.112998903,0.257400841,0.45960325,0.391423106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094_13,-0.486278504,0.004408043,0.232216582,0.627981544,-0.332080811,-0.013515274,0.358799815,-0.048005037,-0.39924255,-0.660340965,0.333660483,-0.226572886,0.165002197,-0.316193432,0.307284117,0.191359609,0.25014329,-0.09841831,-0.069720589,0.660865486,0.005843829,0.127186984,-0.025394829,0.114394486,0.336263627,-0.023750251,0.023258494,-0.221514866,-0.592058241,-0.185519129,0.117792986,0.050686661,0.119919308,0.214612156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095_13,-0.360061586,0.092898279,-0.338098556,-0.51669395,-0.332309663,-0.320745349,0.198342726,0.119433552,0.328992784,0.071048349,-0.068205923,-0.059134293,-0.200913012,0.421060532,-0.217993185,-0.18835111,-0.084065028,-0.411568731,-0.263419151,-0.352829963,0.011089376,-0.268980384,-0.159174427,-0.056125913,-0.316686153,-0.529481351,0.447020799,-0.17648001,0.189595908,-0.354745984,-0.343535036,0.153867677,0.369801283,-0.209267989,-0.467557549,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096_13,-0.596266985,-0.311873615,0.272668421,0.146225497,-0.374901891,-0.296352953,0.242096663,0.326491356,-0.362159908,-0.811487019,0.487645268,0.055495523,0.131700784,-0.218846798,0.310043216,0.579767883,0.13791576,0.559181035,0.243498132,0.50322175,0.359000981,0.554674745,0.431875497,0.332973063,-0.270690471,0.513573468,-0.706519604,0.027714675,-0.907162368,-0.102857873,0.181038275,0.207856983,0.195333183,-0.313245863,0.303412914,-0.746477246,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097_13,-0.153065771,-0.149601236,0.284274727,-0.206008121,-0.13363941,-0.24795042,0.098517187,-0.137957856,0.578352749,0.110242702,0.122493871,0.234342873,0.345246077,0.619642794,0.279392332,0.151628286,0.337704152,0.173323482,0.295250505,-0.083408855,0.27620858,0.143742383,0.47181192,-0.017205857,-0.227786601,0.130197406,-0.047804084,-0.174172044,0.156763867,-0.021244517,0.036424227,0.490188062,0.29699266,0.083337873,-0.254367411,0.372515589,-0.131669506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
