019_14,025_14,-0.258
020_14,025_14,0.883
021_14,025_14,0.072
022_14,025_14,0.289
023_14,025_14,0.252
024_14,025_14,0.230
001_08,026_14,-0.006
002_08,026_14,-0.180
003_08,026_14,0.247
004_08,026_14,-0.114
005_08,026_14,0.298
006_08,026_14,0.110
007_08,026_14,0.470
019_14,026_14,0.020
020_14,026_14,-0.240
021_14,026_14,-0.317
022_14,026_14,0.205
023_14,026_14,0.035
024_14,026_14,-0.001
025_14,026_14,-0.094
001_08,027_14,0.010
002_08,027_14,0.173
003_08,027_14,0.457
004_08,027_14,-0.143
005_08,027_14,0.148
006_08,027_14,0.158
007_08,027_14,-0.164
019_14,027_14,-0.424
020_14,027_14,-0.113
021_14,027_14,-0.313
022_14,027_14,0.202
023_14,027_14,0.301
024_14,027_14,0.113
025_14,027_14,-0.084
026_14,027_14,0.598
001_08,028_14,-0.141
002_08,028_14,0.099
003_08,028_14,0.305
004_08,028_14,0.152
005_08,028_14,0.196
006_08,028_14,0.138
007_08,028_14,0.196
019_14,028_14,-0.286
020_14,028_14,-0.084
021_14,028_14,-0.335
022_14,028_14,0.263
023_14,028_14,0.214
024_14,028_14,0.189
025_14,028_14,0.054
026_14,028_14,0.568
027_14,028_14,0.756
001_08,076_13,0.187
002_08,076_13,-0.236
003_08,076_13,0.442
004_08,076_13,-0.376
005_08,076_13,0.198
006_08,076_13,0.003
007_08,076_13,-0.033
019_14,076_13,-0.202
020_14,076_13,0.078
021_14,076_13,-0.376
022_14,076_13,0.244
023_14,076_13,0.080
024_14,076_13,0.050
025_14,076_13,0.191
026_14,076_13,0.487
027_14,076_13,0.614
028_14,076_13,0.304
001_08,077_13,0.296
002_08,077_13,-0.222
003_08,077_13,0.641
004_08,077_13,-0.153
005_08,077_13,-0.255
006_08,077_13,-0.565
007_08,077_13,-0.239
019_14,077_13,-0.357
020_14,077_13,0.451
021_14,077_13,-0.405
022_14,077_13,0.215
023_14,077_13,0.454
024_14,077_13,0.488
025_14,077_13,0.431
026_14,077_13,0.198
027_14,077_13,0.720
028_14,077_13,0.459
076_13,077_13,0.698
001_08,078_13,-0.595
002_08,078_13,0.058
003_08,078_13,0.234
004_08,078_13,0.258
005_08,078_13,-0.221
006_08,078_13,0.037
007_08,078_13,0.597
019_14,078_13,0.110
020_14,078_13,-0.525
021_14,078_13,-0.608
022_14,078_13,0.384
023_14,078_13,0.034
024_14,078_13,0.119
025_14,078_13,-0.303
026_14,078_13,0.569
027_14,078_13,0.633
028_14,078_13,0.479
076_13,078_13,0.281
077_13,078_13,0.230
